date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:34:39	67/67	---MCZ	200	added ('OK')	text/plain	date:Sat,%2029%20Jan%202022%2003:34:37%20GMT	https://sites.google.com/robots.txt		(from )
19:34:40	374084/374084	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2003:34:37%20GMT	https://sites.google.com/view/mathgames66/	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/sites.google.com/view/mathgames66/index.html	(from )
19:34:41	12989/12989	---MC-	200	added ('OK')	application/javascript	date:Sat,%2029%20Jan%202022%2003:34:39%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/mathgames66/)
19:34:43	374103/374103	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2003:34:40%20GMT	https://sites.google.com/view/mathgames66/home	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/sites.google.com/view/mathgames66/home.html	(from https://sites.google.com/view/mathgames66/)
19:34:43	219753/219753	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2003:34:41%20GMT	https://sites.google.com/view/mathgames66/games	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/sites.google.com/view/mathgames66/games.html	(from https://sites.google.com/view/mathgames66/)
19:34:44	90604/90604	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2003:34:41%20GMT	https://sites.google.com/view/mathgames66/games/1-mobilepc-buk	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/sites.google.com/view/mathgames66/games/1-mobilepc-buk.html	(from https://sites.google.com/view/mathgames66/)
19:34:44	90477/90477	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2003:34:42%20GMT	https://sites.google.com/view/mathgames66/games/2-mobilepc-144	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/sites.google.com/view/mathgames66/games/2-mobilepc-144.html	(from https://sites.google.com/view/mathgames66/)
19:34:45	90600/90600	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2003:34:42%20GMT	https://sites.google.com/view/mathgames66/games/1-mobilepc-2048	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/sites.google.com/view/mathgames66/games/1-mobilepc-2048.html	(from https://sites.google.com/view/mathgames66/)
19:34:45	90617/90617	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2003:34:43%20GMT	https://sites.google.com/view/mathgames66/games/1-mobilepc-2048-cupcakes	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/sites.google.com/view/mathgames66/games/1-mobilepc-2048-cupcakes.html	(from https://sites.google.com/view/mathgames66/)
19:34:45	91772/91772	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2003:34:43%20GMT	https://sites.google.com/view/mathgames66/games/8-mobilepc-2048-shoot-merge-block-puzzle	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/sites.google.com/view/mathgames66/games/8-mobilepc-2048-shoot-merge-block-puzzle.html	(from https://sites.google.com/view/mathgames66/)
19:34:46	90673/90673	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2003:34:44%20GMT	https://sites.google.com/view/mathgames66/games/1-mobilepc-33yang-mine-sweeper	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/sites.google.com/view/mathgames66/games/1-mobilepc-33yang-mine-sweeper.html	(from https://sites.google.com/view/mathgames66/)
19:34:46	91351/91351	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2003:34:44%20GMT	https://sites.google.com/view/mathgames66/games/5-mobilepc-3d-hartwig-chess-set	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/sites.google.com/view/mathgames66/games/5-mobilepc-3d-hartwig-chess-set.html	(from https://sites.google.com/view/mathgames66/)
19:34:47	90724/90724	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2003:34:45%20GMT	https://sites.google.com/view/mathgames66/games/1-mobilepc-9007199254740992	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/sites.google.com/view/mathgames66/games/1-mobilepc-9007199254740992.html	(from https://sites.google.com/view/mathgames66/)
19:34:48	90636/90636	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2003:34:45%20GMT	https://sites.google.com/view/mathgames66/games/1-mobilepc-alien-invasion	C:/Users/Nouriddine%20Miloud/Downloads/mathgames66archive/sites.google.com/view/mathgames66/games/1-mobilepc-alien-invasion.html	(from https://sites.google.com/view/mathgames66/)
